['1', '杨晓华', '私募证券投资基金管理人', '上海市', 'P1000182', '2011-03-15', '2014-03-17']
['12', '王小坚', '私募证券投资基金管理人', '上海市', 'P1000318', '2011-07-01', '2014-03-17']
['13', '但斌', '私募证券投资基金管理人', '深圳市', 'P1000320', '2004-03-23', '2014-03-17']
['14', '陈海峰', '私募证券投资基金管理人', '上海市', 'P1000321', '2007-04-29', '2014-03-17']
['15', '陈家琳', '私募证券投资基金管理人', '上海市', 'P1000323', '2007-10-10', '2014-03-17']
['16', '刘睿', '私募证券投资基金管理人', '深圳市', 'P1000326', '2009-02-10', '2014-03-17']
['17', '朱晓兵', '私募证券投资基金管理人', '上海市', 'P1000385', '2003-12-12', '2014-03-17']
['18', '余定恒', '私募证券投资基金管理人', '深圳市', 'P1000388', '2006-11-10', '2014-03-17']
['19', '岳志武', '私募证券投资基金管理人', '浙江省', 'P1000391', '2010-03-08', '2014-03-17']
['20', '曾昭雄', '私募证券投资基金管理人', '深圳市', 'P1000406', '2012-02-28', '2014-03-17']
['1', '沈一慧', '私募证券投资基金管理人', '浙江省', 'P1000417', '2008-11-17', '2014-03-17']
['2', '李云峰', '私募证券投资基金管理人', '广东省', 'P1000421', '2007-07-23', '2014-03-17']
['3', '彭旭', '私募证券投资基金管理人', '北京市', 'P1000443', '2012-03-31', '2014-03-17']
['4', '胡远川', '私募证券投资基金管理人', '上海市', 'P1000450', '2011-03-28', '2014-03-17']
['5', '滕泰', '私募证券投资基金管理人', '北京市', 'P1000460', '2012-06-08', '2014-03-17']
['6', '徐斌', '私募证券投资基金管理人', '上海市', 'P1000484', '2010-03-23', '2014-03-17']
['7', '朱立南', '私募股权、创业投资基金管理人', '北京市', 'P1000489', '2003-11-19', '2014-03-17']
['8', '余葆红', '私募股权、创业投资基金管理人', '北京市', 'P1000491', '2006-08-23', '2014-03-17']
['9', '肖顺喜', '私募证券投资基金管理人', '上海市', 'P1000496', '1994-07-07', '2014-03-17']
['10', '施建军', '私募证券投资基金管理人', '浙江省', 'P1000501', '2011-03-02', '2014-03-17']
['11', '殷哲', '私募证券投资基金管理人', '天津市', 'P1000509', '2010-03-18', '2014-03-17']
['12', '殷哲', '私募证券投资基金管理人', '上海市', 'P1000548', '2013-04-10', '2014-03-17']
['13', '何炫', '私募证券投资基金管理人', '贵州省', 'P1000551', '2013-03-21', '2014-03-17']
['14', '莫泰山', '私募证券投资基金管理人', '上海市', 'P1000629', '2013-05-07', '2014-03-17']
['15', '宋晓明', '私募证券投资基金管理人', '深圳市', 'P1000630', '2013-05-17', '2014-03-17']
['16', '崔军', '私募证券投资基金管理人', '上海市', 'P1000631', '2012-10-12', '2014-03-17']
['17', '傅建华', '私募证券投资基金管理人', '上海市', 'P1000632', '2012-07-10', '2014-03-17']
['18', '丁楹', '私募证券投资基金管理人', '深圳市', 'P1000633', '2013-07-25', '2014-03-17']
['19', '潘智勇', '私募证券投资基金管理人', '上海市', 'P1000634', '2013-02-27', '2014-03-17']
['20', '夏春', '私募证券投资基金管理人', '深圳市', 'P1000635', '2013-04-07', '2014-03-17']
['1', '周骋', '私募股权、创业投资基金管理人', '北京市', 'P1000636', '2011-12-01', '2014-03-17']
['2', '殷哲', '私募股权、创业投资基金管理人', '江苏省', 'P1000637', '2012-02-09', '2014-03-17']
['3', '李引泉', '私募股权、创业投资基金管理人', '新疆维吾尔自治区', 'P1000638', '2011-09-19', '2014-03-17']
['4', '肖林', '私募股权、创业投资基金管理人', '天津市', 'P1000639', '2008-12-16', '2014-03-17']
['5', '米强', '私募股权、创业投资基金管理人', '上海市', 'P1000640', '2009-12-18', '2014-03-17']
['6', '吴爱民', '私募股权、创业投资基金管理人', '上海市', 'P1000641', '2012-01-19', '2014-03-17']
['7', '刘澄伟', '私募股权、创业投资基金管理人', '江苏省', 'P1000642', '2012-04-13', '2014-03-17']
['8', '张懿宸', '私募股权、创业投资基金管理人', '天津市', 'P1000643', '2009-07-15', '2014-03-17']
['9', '祁曙光', '私募股权、创业投资基金管理人', '青岛市', 'P1000644', '2012-12-04', '2014-03-17']
['10', '周逵', '私募股权、创业投资基金管理人', '天津市', 'P1000645', '2008-09-10', '2014-03-17']
['11', '王武', '私募证券投资基金管理人', '上海市', 'P1000266', '2006-04-19', '2014-03-25']
['12', '唐毅亭', '私募证券投资基金管理人', '北京市', 'P1000270', '2011-04-11', '2014-03-25']
['13', '王欢', '私募证券投资基金管理人', '上海市', 'P1000272', '2007-07-02', '2014-03-25']
['14', '曾晓洁', '私募证券投资基金管理人', '北京市', 'P1000278', '2009-05-27', '2014-03-25']
['15', 'John Huan Zhao', '私募股权、创业投资基金管理人', '天津市', 'P1000283', '2008-04-14', '2014-03-25']
['16', '赵军', '私募证券投资基金管理人', '北京市', 'P1000294', '2007-06-26', '2014-03-25']
['17', '刘令', '其他私募投资基金管理人', '北京市', 'P1000307', '2010-09-14', '2014-03-25']
['18', '田荣华', '私募证券投资基金管理人', '深圳市', 'P1000311', '2007-06-07', '2014-03-25']
['19', '赵凯', '私募证券投资基金管理人', '上海市', 'P1000314', '2012-07-13', '2014-03-25']
['20', '丁伟', '私募证券投资基金管理人', '上海市', 'P1000315', '2006-11-25', '2014-03-25']
['1', '朱南松', '私募证券投资基金管理人', '上海市', 'P1000361', '1994-04-21', '2014-03-25']
['2', '李岩', '私募证券投资基金管理人', '北京市', 'P1000364', '2009-06-25', '2014-03-25']
['3', '张烨', '私募证券投资基金管理人', '宁波市', 'P1000369', '2009-04-07', '2014-03-25']
['4', '唐华琴', '私募证券投资基金管理人', '宁波市', 'P1000398', '2011-08-29', '2014-03-25']
['5', '陈敏', '私募证券投资基金管理人', '上海市', 'P1000426', '2007-06-27', '2014-03-25']
['6', '李剑鸣', '私募证券投资基金管理人', '深圳市', 'P1000434', '2010-11-22', '2014-03-25']
['7', '金伟春', '私募股权、创业投资基金管理人', '深圳市', 'P1000481', '2012-12-28', '2014-03-25']
['8', '蔡蕾', '私募股权、创业投资基金管理人', '北京市', 'P1000487', '2007-07-27', '2014-03-25']
['9', '李晔', '私募股权、创业投资基金管理人', '深圳市', 'P1000535', '2011-12-01', '2014-03-25']
['10', '胡敏', '私募股权、创业投资基金管理人', '天津市', 'P1000540', '2011-05-23', '2014-03-25']
['11', '陈宇', '私募证券投资基金管理人', '北京市', 'P1000566', '2009-07-23', '2014-03-25']
['12', '张峰', '私募证券投资基金管理人', '深圳市', 'P1000587', '2012-02-28', '2014-03-25']
['13', '李华轮', '私募证券投资基金管理人', '上海市', 'P1000646', '2009-09-28', '2014-03-25']
['14', '曹荣', '私募证券投资基金管理人', '上海市', 'P1000647', '2013-02-04', '2014-03-25']
['15', '王欣', '私募证券投资基金管理人', '江苏省', 'P1000648', '2007-07-04', '2014-03-25']
['16', '魏上雲', '私募证券投资基金管理人', '北京市', 'P1000649', '2006-08-18', '2014-03-25']
['17', '肖华', '私募证券投资基金管理人', '深圳市', 'P1000650', '2007-02-16', '2014-03-25']
['18', '张翎', '私募证券投资基金管理人', '上海市', 'P1000651', '2010-02-23', '2014-03-25']
['19', '李晶', '私募证券投资基金管理人', '上海市', 'P1000652', '2006-01-16', '2014-03-25']
['20', '蔡生俭', '私募证券投资基金管理人', '重庆市', 'P1000653', '2008-07-09', '2014-03-25']
['1', '王瑜', '私募证券投资基金管理人', '深圳市', 'P1000654', '2003-12-03', '2014-03-25']
['2', '陈山', '私募股权、创业投资基金管理人', '北京市', 'P1000655', '2007-08-01', '2014-03-25']
['3', '张甦伟', '私募证券投资基金管理人', '上海市', 'P1000656', '2010-08-11', '2014-03-25']
['4', '\u3000夏和平', '私募证券投资基金管理人', '广东省', 'P1000657', '2013-03-14', '2014-03-25']
['5', '费晓燕', '私募证券投资基金管理人', '江苏省', 'P1000658', '2001-01-18', '2014-03-25']
['6', '路林', '私募证券投资基金管理人', '天津市', 'P1000659', '2010-12-28', '2014-03-25']
['7', '张全有', '私募股权、创业投资基金管理人', '天津市', 'P1000660', '2010-09-28', '2014-03-25']
['8', '阎焱', '私募股权、创业投资基金管理人', '天津市', 'P1000661', '2008-07-02', '2014-03-25']
['9', '邬小蕙', '私募股权、创业投资基金管理人', '北京市', 'P1000662', '2011-03-02', '2014-03-25']
['10', 'SEAH KIAN WEE', '私募股权、创业投资基金管理人', '江苏省', 'P1000663', '2008-07-18', '2014-03-25']
['11', '陈嘉翊', '私募股权、创业投资基金管理人', '北京市', 'P1000664', '2010-08-27', '2014-03-25']
['12', '路林', '其他私募投资基金管理人', '北京市', 'P1000665', '2009-12-03', '2014-03-25']
['13', '沈正宁', '私募股权、创业投资基金管理人', '北京市', 'P1000666', '2013-11-13', '2014-03-25']
['14', '郭芃', '私募股权、创业投资基金管理人', '上海市', 'P1000667', '2010-08-02', '2014-03-25']
['15', '龚智坚', '私募股权、创业投资基金管理人', '厦门市', 'P1000668', '2012-02-24', '2014-03-25']
['16', '程国发', '私募股权、创业投资基金管理人', '深圳市', 'P1000669', '2007-12-03', '2014-03-25']
['17', '张民耕', '私募股权、创业投资基金管理人', '北京市', 'P1000670', '2010-03-04', '2014-03-25']
['18', '江涛', '私募股权、创业投资基金管理人', '北京市', 'P1000671', '2013-03-12', '2014-03-25']
['19', '张全有', '私募证券投资基金管理人', '深圳市', 'P1000672', '2013-05-17', '2014-03-25']
['20', '于军', '私募证券投资基金管理人', '北京市', 'P1000273', '2009-03-27', '2014-04-01']
['1', '杨晓华', '私募证券投资基金管理人', '上海市', 'P1000182', '2011-03-15', '2014-03-17']
['2', '裘国根', '私募证券投资基金管理人', '上海市', 'P1000265', '2009-06-26', '2014-03-17']
['3', '高云程', '私募证券投资基金管理人', '上海市', 'P1000267', '2012-06-06', '2014-03-17']
['4', '周楠', '私募证券投资基金管理人', '上海市', 'P1000268', '2012-02-10', '2014-03-17']
['5', '蔡明', '私募证券投资基金管理人', '深圳市', 'P1000269', '2007-04-05', '2014-03-17']
['6', '石波', '私募证券投资基金管理人', '上海市', 'P1000271', '2007-08-01', '2014-03-17']
['7', '闵昱', '私募证券投资基金管理人', '北京市', 'P1000276', '2010-05-28', '2014-03-17']
['8', '朱灿', '私募股权、创业投资基金管理人', '天津市', 'P1000287', '2011-08-05', '2014-03-17']
['9', '郭力', '私募股权、创业投资基金管理人', '天津市', 'P1000301', '2008-05-22', '2014-03-17']
['10', '杜昌焘', '私募股权、创业投资基金管理人', '广东省', 'P1000302', '2009-07-15', '2014-03-17']
['11', '唐斌', '私募股权、创业投资基金管理人', '上海市', 'P1000303', '2007-04-28', '2014-03-17']
['12', '王小坚', '私募证券投资基金管理人', '上海市', 'P1000318', '2011-07-01', '2014-03-17']
['13', '但斌', '私募证券投资基金管理人', '深圳市', 'P1000320', '2004-03-23', '2014-03-17']
['14', '陈海峰', '私募证券投资基金管理人', '上海市', 'P1000321', '2007-04-29', '2014-03-17']
['15', '陈家琳', '私募证券投资基金管理人', '上海市', 'P1000323', '2007-10-10', '2014-03-17']
['16', '刘睿', '私募证券投资基金管理人', '深圳市', 'P1000326', '2009-02-10', '2014-03-17']
['17', '朱晓兵', '私募证券投资基金管理人', '上海市', 'P1000385', '2003-12-12', '2014-03-17']
['18', '余定恒', '私募证券投资基金管理人', '深圳市', 'P1000388', '2006-11-10', '2014-03-17']
['19', '岳志武', '私募证券投资基金管理人', '浙江省', 'P1000391', '2010-03-08', '2014-03-17']
['20', '曾昭雄', '私募证券投资基金管理人', '深圳市', 'P1000406', '2012-02-28', '2014-03-17']
['1', '杨晓华', '私募证券投资基金管理人', '上海市', 'P1000182', '2011-03-15', '2014-03-17']
['2', '裘国根', '私募证券投资基金管理人', '上海市', 'P1000265', '2009-06-26', '2014-03-17']
['3', '高云程', '私募证券投资基金管理人', '上海市', 'P1000267', '2012-06-06', '2014-03-17']
['4', '周楠', '私募证券投资基金管理人', '上海市', 'P1000268', '2012-02-10', '2014-03-17']
['5', '蔡明', '私募证券投资基金管理人', '深圳市', 'P1000269', '2007-04-05', '2014-03-17']
['6', '石波', '私募证券投资基金管理人', '上海市', 'P1000271', '2007-08-01', '2014-03-17']
['7', '闵昱', '私募证券投资基金管理人', '北京市', 'P1000276', '2010-05-28', '2014-03-17']
['8', '朱灿', '私募股权、创业投资基金管理人', '天津市', 'P1000287', '2011-08-05', '2014-03-17']
['9', '郭力', '私募股权、创业投资基金管理人', '天津市', 'P1000301', '2008-05-22', '2014-03-17']
['10', '杜昌焘', '私募股权、创业投资基金管理人', '广东省', 'P1000302', '2009-07-15', '2014-03-17']
['11', '唐斌', '私募股权、创业投资基金管理人', '上海市', 'P1000303', '2007-04-28', '2014-03-17']
['12', '王小坚', '私募证券投资基金管理人', '上海市', 'P1000318', '2011-07-01', '2014-03-17']
['13', '但斌', '私募证券投资基金管理人', '深圳市', 'P1000320', '2004-03-23', '2014-03-17']
['14', '陈海峰', '私募证券投资基金管理人', '上海市', 'P1000321', '2007-04-29', '2014-03-17']
['15', '陈家琳', '私募证券投资基金管理人', '上海市', 'P1000323', '2007-10-10', '2014-03-17']
['16', '刘睿', '私募证券投资基金管理人', '深圳市', 'P1000326', '2009-02-10', '2014-03-17']
['17', '朱晓兵', '私募证券投资基金管理人', '上海市', 'P1000385', '2003-12-12', '2014-03-17']
['18', '余定恒', '私募证券投资基金管理人', '深圳市', 'P1000388', '2006-11-10', '2014-03-17']
['19', '岳志武', '私募证券投资基金管理人', '浙江省', 'P1000391', '2010-03-08', '2014-03-17']
['20', '曾昭雄', '私募证券投资基金管理人', '深圳市', 'P1000406', '2012-02-28', '2014-03-17']
['1', '沈一慧', '私募证券投资基金管理人', '浙江省', 'P1000417', '2008-11-17', '2014-03-17']
['2', '李云峰', '私募证券投资基金管理人', '广东省', 'P1000421', '2007-07-23', '2014-03-17']
['3', '彭旭', '私募证券投资基金管理人', '北京市', 'P1000443', '2012-03-31', '2014-03-17']
['4', '胡远川', '私募证券投资基金管理人', '上海市', 'P1000450', '2011-03-28', '2014-03-17']
['5', '滕泰', '私募证券投资基金管理人', '北京市', 'P1000460', '2012-06-08', '2014-03-17']
['6', '徐斌', '私募证券投资基金管理人', '上海市', 'P1000484', '2010-03-23', '2014-03-17']
['7', '朱立南', '私募股权、创业投资基金管理人', '北京市', 'P1000489', '2003-11-19', '2014-03-17']
['8', '余葆红', '私募股权、创业投资基金管理人', '北京市', 'P1000491', '2006-08-23', '2014-03-17']
['9', '肖顺喜', '私募证券投资基金管理人', '上海市', 'P1000496', '1994-07-07', '2014-03-17']
['10', '施建军', '私募证券投资基金管理人', '浙江省', 'P1000501', '2011-03-02', '2014-03-17']
['11', '殷哲', '私募证券投资基金管理人', '天津市', 'P1000509', '2010-03-18', '2014-03-17']
['12', '殷哲', '私募证券投资基金管理人', '上海市', 'P1000548', '2013-04-10', '2014-03-17']
['13', '何炫', '私募证券投资基金管理人', '贵州省', 'P1000551', '2013-03-21', '2014-03-17']
['14', '莫泰山', '私募证券投资基金管理人', '上海市', 'P1000629', '2013-05-07', '2014-03-17']
['15', '宋晓明', '私募证券投资基金管理人', '深圳市', 'P1000630', '2013-05-17', '2014-03-17']
['16', '崔军', '私募证券投资基金管理人', '上海市', 'P1000631', '2012-10-12', '2014-03-17']
['17', '傅建华', '私募证券投资基金管理人', '上海市', 'P1000632', '2012-07-10', '2014-03-17']
['18', '丁楹', '私募证券投资基金管理人', '深圳市', 'P1000633', '2013-07-25', '2014-03-17']
['19', '潘智勇', '私募证券投资基金管理人', '上海市', 'P1000634', '2013-02-27', '2014-03-17']
['20', '夏春', '私募证券投资基金管理人', '深圳市', 'P1000635', '2013-04-07', '2014-03-17']
['1', '周骋', '私募股权、创业投资基金管理人', '北京市', 'P1000636', '2011-12-01', '2014-03-17']
['2', '殷哲', '私募股权、创业投资基金管理人', '江苏省', 'P1000637', '2012-02-09', '2014-03-17']
['3', '李引泉', '私募股权、创业投资基金管理人', '新疆维吾尔自治区', 'P1000638', '2011-09-19', '2014-03-17']
['4', '肖林', '私募股权、创业投资基金管理人', '天津市', 'P1000639', '2008-12-16', '2014-03-17']
['5', '米强', '私募股权、创业投资基金管理人', '上海市', 'P1000640', '2009-12-18', '2014-03-17']
['6', '吴爱民', '私募股权、创业投资基金管理人', '上海市', 'P1000641', '2012-01-19', '2014-03-17']
['7', '刘澄伟', '私募股权、创业投资基金管理人', '江苏省', 'P1000642', '2012-04-13', '2014-03-17']
['8', '张懿宸', '私募股权、创业投资基金管理人', '天津市', 'P1000643', '2009-07-15', '2014-03-17']
['9', '祁曙光', '私募股权、创业投资基金管理人', '青岛市', 'P1000644', '2012-12-04', '2014-03-17']
['10', '周逵', '私募股权、创业投资基金管理人', '天津市', 'P1000645', '2008-09-10', '2014-03-17']
['11', '王武', '私募证券投资基金管理人', '上海市', 'P1000266', '2006-04-19', '2014-03-25']
['12', '唐毅亭', '私募证券投资基金管理人', '北京市', 'P1000270', '2011-04-11', '2014-03-25']
['13', '王欢', '私募证券投资基金管理人', '上海市', 'P1000272', '2007-07-02', '2014-03-25']
['14', '曾晓洁', '私募证券投资基金管理人', '北京市', 'P1000278', '2009-05-27', '2014-03-25']
['15', 'John Huan Zhao', '私募股权、创业投资基金管理人', '天津市', 'P1000283', '2008-04-14', '2014-03-25']
['16', '赵军', '私募证券投资基金管理人', '北京市', 'P1000294', '2007-06-26', '2014-03-25']
['17', '刘令', '其他私募投资基金管理人', '北京市', 'P1000307', '2010-09-14', '2014-03-25']
['18', '田荣华', '私募证券投资基金管理人', '深圳市', 'P1000311', '2007-06-07', '2014-03-25']
['19', '赵凯', '私募证券投资基金管理人', '上海市', 'P1000314', '2012-07-13', '2014-03-25']
['20', '丁伟', '私募证券投资基金管理人', '上海市', 'P1000315', '2006-11-25', '2014-03-25']
['1', '朱南松', '私募证券投资基金管理人', '上海市', 'P1000361', '1994-04-21', '2014-03-25']
['2', '李岩', '私募证券投资基金管理人', '北京市', 'P1000364', '2009-06-25', '2014-03-25']
['3', '张烨', '私募证券投资基金管理人', '宁波市', 'P1000369', '2009-04-07', '2014-03-25']
['4', '唐华琴', '私募证券投资基金管理人', '宁波市', 'P1000398', '2011-08-29', '2014-03-25']
['5', '陈敏', '私募证券投资基金管理人', '上海市', 'P1000426', '2007-06-27', '2014-03-25']
['6', '李剑鸣', '私募证券投资基金管理人', '深圳市', 'P1000434', '2010-11-22', '2014-03-25']
['7', '金伟春', '私募股权、创业投资基金管理人', '深圳市', 'P1000481', '2012-12-28', '2014-03-25']
['8', '蔡蕾', '私募股权、创业投资基金管理人', '北京市', 'P1000487', '2007-07-27', '2014-03-25']
['9', '李晔', '私募股权、创业投资基金管理人', '深圳市', 'P1000535', '2011-12-01', '2014-03-25']
['10', '胡敏', '私募股权、创业投资基金管理人', '天津市', 'P1000540', '2011-05-23', '2014-03-25']
['11', '陈宇', '私募证券投资基金管理人', '北京市', 'P1000566', '2009-07-23', '2014-03-25']
['12', '张峰', '私募证券投资基金管理人', '深圳市', 'P1000587', '2012-02-28', '2014-03-25']
['13', '李华轮', '私募证券投资基金管理人', '上海市', 'P1000646', '2009-09-28', '2014-03-25']
['14', '曹荣', '私募证券投资基金管理人', '上海市', 'P1000647', '2013-02-04', '2014-03-25']
['15', '王欣', '私募证券投资基金管理人', '江苏省', 'P1000648', '2007-07-04', '2014-03-25']
['16', '魏上雲', '私募证券投资基金管理人', '北京市', 'P1000649', '2006-08-18', '2014-03-25']
['17', '肖华', '私募证券投资基金管理人', '深圳市', 'P1000650', '2007-02-16', '2014-03-25']
['18', '张翎', '私募证券投资基金管理人', '上海市', 'P1000651', '2010-02-23', '2014-03-25']
['19', '李晶', '私募证券投资基金管理人', '上海市', 'P1000652', '2006-01-16', '2014-03-25']
['20', '蔡生俭', '私募证券投资基金管理人', '重庆市', 'P1000653', '2008-07-09', '2014-03-25']
['1', '王瑜', '私募证券投资基金管理人', '深圳市', 'P1000654', '2003-12-03', '2014-03-25']
['2', '陈山', '私募股权、创业投资基金管理人', '北京市', 'P1000655', '2007-08-01', '2014-03-25']
['3', '张甦伟', '私募证券投资基金管理人', '上海市', 'P1000656', '2010-08-11', '2014-03-25']
['4', '\u3000夏和平', '私募证券投资基金管理人', '广东省', 'P1000657', '2013-03-14', '2014-03-25']
['5', '费晓燕', '私募证券投资基金管理人', '江苏省', 'P1000658', '2001-01-18', '2014-03-25']
['6', '路林', '私募证券投资基金管理人', '天津市', 'P1000659', '2010-12-28', '2014-03-25']
['7', '张全有', '私募股权、创业投资基金管理人', '天津市', 'P1000660', '2010-09-28', '2014-03-25']
['8', '阎焱', '私募股权、创业投资基金管理人', '天津市', 'P1000661', '2008-07-02', '2014-03-25']
['9', '邬小蕙', '私募股权、创业投资基金管理人', '北京市', 'P1000662', '2011-03-02', '2014-03-25']
['10', 'SEAH KIAN WEE', '私募股权、创业投资基金管理人', '江苏省', 'P1000663', '2008-07-18', '2014-03-25']
['11', '陈嘉翊', '私募股权、创业投资基金管理人', '北京市', 'P1000664', '2010-08-27', '2014-03-25']
['12', '路林', '其他私募投资基金管理人', '北京市', 'P1000665', '2009-12-03', '2014-03-25']
['13', '沈正宁', '私募股权、创业投资基金管理人', '北京市', 'P1000666', '2013-11-13', '2014-03-25']
['14', '郭芃', '私募股权、创业投资基金管理人', '上海市', 'P1000667', '2010-08-02', '2014-03-25']
['15', '龚智坚', '私募股权、创业投资基金管理人', '厦门市', 'P1000668', '2012-02-24', '2014-03-25']
['16', '程国发', '私募股权、创业投资基金管理人', '深圳市', 'P1000669', '2007-12-03', '2014-03-25']
['17', '张民耕', '私募股权、创业投资基金管理人', '北京市', 'P1000670', '2010-03-04', '2014-03-25']
['18', '江涛', '私募股权、创业投资基金管理人', '北京市', 'P1000671', '2013-03-12', '2014-03-25']
['19', '张全有', '私募证券投资基金管理人', '深圳市', 'P1000672', '2013-05-17', '2014-03-25']
['20', '于军', '私募证券投资基金管理人', '北京市', 'P1000273', '2009-03-27', '2014-04-01']
['1', '杜建军', '私募证券投资基金管理人', '上海市', 'P1000295', '2011-06-07', '2014-04-01']
['2', '黄明皓', '私募证券投资基金管理人', '深圳市', 'P1000296', '2007-02-15', '2014-04-01']
['3', '吕俊', '私募证券投资基金管理人', '上海市', 'P1000297', '2007-11-06', '2014-04-01']
['4', '郑晓军', '私募证券投资基金管理人', '西藏自治区', 'P1000324', '2007-11-22', '2014-04-01']
['5', '黄柏乔', '私募证券投资基金管理人', '天津市', 'P1000363', '2011-12-05', '2014-04-01']
['6', '张林涛', '私募证券投资基金管理人', '深圳市', 'P1000392', '2010-07-08', '2014-04-01']
['7', '梁文涛', '私募证券投资基金管理人', '上海市', 'P1000395', '2010-03-04', '2014-04-01']
['8', '申龙', '私募证券投资基金管理人', '深圳市', 'P1000397', '2010-03-01', '2014-04-01']
['9', '申毅', '私募证券投资基金管理人', '上海市', 'P1000404', '2004-06-23', '2014-04-01']
['10', '唐志伟', '私募证券投资基金管理人', '江苏省', 'P1000411', '2001-05-29', '2014-04-01']
['11', '刘鹰', '私募证券投资基金管理人', '深圳市', 'P1000415', '2010-11-22', '2014-04-01']
['12', '王晓滨', '私募股权、创业投资基金管理人', '北京市', 'P1000497', '2007-01-29', '2014-04-01']
['13', '程毅', '私募证券投资基金管理人', '天津市', 'P1000546', '2011-03-15', '2014-04-01']
['14', '刘怀南', '私募证券投资基金管理人', '上海市', 'P1000552', '2001-07-03', '2014-04-01']
['15', '刘文动', '私募证券投资基金管理人', '北京市', 'P1000570', '2013-06-06', '2014-04-01']
['16', '姚迁', '私募证券投资基金管理人', '深圳市', 'P1000673', '2014-01-08', '2014-04-01']
['17', '陈东升', '私募证券投资基金管理人', '上海市', 'P1000674', '2013-01-18', '2014-04-01']
['18', '杨成义', '私募证券投资基金管理人', '天津市', 'P1000675', '2011-06-28', '2014-04-01']
['19', '朱晓康', '私募证券投资基金管理人', '浙江省', 'P1000676', '2011-10-28', '2014-04-01']
['20', '尚健', '私募证券投资基金管理人', '上海市', 'P1000677', '2013-10-29', '2014-04-01']
['1', '万桦', '私募证券投资基金管理人', '深圳市', 'P1000678', '2007-08-06', '2014-04-01']
['2', '董文亮', '私募证券投资基金管理人', '青岛市', 'P1000679', '2007-05-21', '2014-04-01']
['3', '李勇', '私募证券投资基金管理人', '上海市', 'P1000680', '2012-02-10', '2014-04-01']
['4', '陶鹤', '私募证券投资基金管理人', '浙江省', 'P1000681', '2012-09-24', '2014-04-01']
['5', '宋卫刚', '私募证券投资基金管理人', '北京市', 'P1000682', '2000-08-22', '2014-04-01']
['6', '张大刚', '私募证券投资基金管理人', '上海市', 'P1000683', '2012-05-14', '2014-04-01']
